name,high_chairs,inglesina_safe,review,image
Tarragon Cafe,Yes,Yes,"I sat in the big picnic table in the middle of the restaurant so everyone could watch me throw potatoes everywhere! Mmm crispy breakfast taco.",tarragon.jpg
Cato's Ale House,,Yes,"No ale for me! I crawled around the backyard for a while and tried to lick grease off of various fence parts. Then mommy gave me hummus for the first time and I LOVED it. Where has hummus been my whole life?",
Pang,Yes,Yes,"Mom and dad took me here after book shopping at Green Apple. Theygave me a bowl with a little monkey. Of course I didn't eat out of it, just stabbed it with my fork repeatedly. I liked the dumplings and sesame noodles.",pang.jpg
Pizzeria Violetta,Yes,Yes,"The pizzas were bigger than me! I got a cup of shredded chicken to munch on while they cooked but it was a little too salty. Then I went to town on some pizza crusts.",
Imperial Garden Seafood Restaurant,,Yes,"Mommy got us a special vegan menu - I don't know what that means to be honest. All I know is if I see a dumpling or bao, I will bite it so the filling falls out and makes a big mess. This place was HUGE but thankfully almost empty at 5pm so I could pretend to play the drums using my chopsticks. Everyone was charmed by my performance! I loved the vegan pork veggie bao, garlic yu choy, and turnip cakes.",
Sushi Easy,Yes,No,"I couldn’t wait to go play at Natural Resources next door so I gave everyone the wah-wah baby treatment while I waited for my food. Mom said I couldn’t have sushi so I got some pieces of shrimp tempura and miso salmon instead. The restaurant was tiny so it was good dad didn’t bring my stroller. Then at the end the adults got something called ice cream for free. Must be gross because they didn’t share with me.",
Dumpling Home,Yes,Yes,I got my own water straw cup / plastic utensils to play with but I preferred dropping the big person utensils on the floor. I ate 2.23 dumplings and then ignored my veggie bao even though it was perfect for BLW.,dumplinghome.jpg
My Father’s Kitchen,Yes,Yes,"High chair too big for tiny me and I almost slipped out through the leg opening lmao. Good thing it’s right by a children’s hospital. It was worth it tho for the coconut chicken!",
Yuanbao Jiaozi,No,Yes,"My favorite dumplings in SF! I especially like smushing the fish and pepper ones. Mom bites a hole in them so they cool down for me faster. It’s quiet during weekday lunch until I show up!",yuanbao.jpg
Ebisu,,Yes,"I enjoy (ruining) the cute romantic vibe at this restaurant. Mom gave me pieces of tofu from her miso soup, tamago/shrimp from a chirashi bowl, and flakes of miso cod (my fave). She did not check for high chairs as I was too small at the time.",ebisu.jpg
Bella Trattoria,Yes,No,High chairs a bit too big for 9-month old me but seemed safe. Gnocchi was quite salty and veggies were not quite soft enough for me - but I could tell my parents loved the pasta! As for me I loved squishing the free bread and occasionally eating 2% of it before dropping it on the floor.,
Harbin Hot Springs,No,Yes,My Inglesina chair clips to their outdoor picnic tables so I can drop as much food as I want on the ground for the birds to pick up. All their food seems super healthy and low sodium! I loved their tofu and broccoli sides. The chef even made me a baby 1-egg omelet for breakfast after I gave him very clear instructions on how I like it!,harbin.jpg
